cocktail_id,target_cell,source_cell,validation_set,factors_published,n_factors,factors_in_pool,factors_not_in_pool,pmid,first_author,year,journal,scoring_status,factor_ranks,top5_pct_recovery,top10_pct_recovery,notes
HAIR-01,Cochlear hair cell,Supporting cell,Set 2 — Extended validation,ATOH1; GFI1; POU4F3,3,ATOH1; GFI1; POU4F3,,38266052,Iyer,2024,PNAS,scored,ATOH1:#5(0.2%); GFI1:#38(1.2%); POU4F3:#9(0.3%),3/3,3/3,Three TF cochlear regeneration
HAIR-02,Cochlear hair cell,Muller glia,Set 2 — Extended validation,ATOH1; GFI1,2,ATOH1; GFI1,,33299046,Lee,2020,Sci Rep,scored,ATOH1:#5(0.2%); GFI1:#38(1.2%),2/2,2/2,Combinatorial hair cell induction
HAIR-03,Outer hair cell,Supporting cell,Set 2 — Extended validation,ATOH1; IKZF2,2,ATOH1; IKZF2,,34473057,Sun,2021,eLife,scored,ATOH1:#5(0.2%); IKZF2:#3(0.1%),2/2,2/2,Prestin+ OHC specification
HAIR-04,Cochlear hair cell,Supporting cell,Set 2 — Extended validation,ATOH1; MYC; NOTCH1,3,ATOH1; MYC; NOTCH1,,31784508,Shu,2019,Nat Commun,scored,ATOH1:#5(0.2%); MYC:#460(14.5%); NOTCH1:#1309(41.3%),1/3,1/3,Proliferation + differentiation
MELANO-01,Melanocyte,Fibroblast,Set 2 — Extended validation,MITF; SOX10; PAX3,3,MITF; SOX10; PAX3,,25510211,Yang,2014,Nat Commun,scored,MITF:#107(3.4%); SOX10:#2033(64.2%); PAX3:#128(4.0%),2/3,2/3,Functional melanocytes - vitiligo
MELANO-02,Melanocyte,Fibroblast,Set 2 — Extended validation,MITF,1,MITF,,8844727,Tachibana,1996,Nat Genet,scored,MITF:#107(3.4%),1/1,1/1,Single TF melanocyte induction
PHOTO-01,Photoreceptor,Fibroblast,Set 2 — Extended validation,CRX; RAX; NEUROD1; OTX2,4,CRX; RAX; NEUROD1; OTX2,,25040458,Seko,2014,Genes Cells,scored,CRX:#12(0.4%); RAX:#17(0.5%); NEUROD1:#53(1.7%); OTX2:#846(26.7%),3/4,3/4,Light-responsive photoreceptors
PHOTO-02,Rod photoreceptor,Muller glia,Set 2 — Extended validation,OTX2; CRX; NRL,3,OTX2; CRX; NRL,,29920186,Yao,2018,J Clin Invest,scored,OTX2:#880(27.8%); CRX:#13(0.4%); NRL:#17(0.5%),2/3,2/3,In vivo rod regeneration
PHOTO-03,Photoreceptor,Iris epithelium,Set 2 — Extended validation,CRX; RAX; NEUROD1,3,CRX; RAX; NEUROD1,,22672266,Seko,2012,Genes Cells,scored,CRX:#12(0.4%); RAX:#22(0.7%); NEUROD1:#58(1.8%),3/3,3/3,From iris cells
NEURON-21,Striatal MSN,Fibroblast,Set 2 — Extended validation,CTIP2; DLX1; DLX2; MYT1L,4,BCL11B; DLX1; DLX2; MYT1L,,24486086,Victor,2014,Neuron,scored,BCL11B:#265(8.4%); DLX1:#8(0.3%); DLX2:#137(4.3%); MYT1L:#7(0.2%),3/4,4/4,Medium spiny neurons
NEURON-22,Cortical neuron,Fibroblast,Set 2 — Extended validation,NGN2; NURR1,2,NEUROG2; NR4A2,,25640239,Guo,2015,Cell,scored,NEUROG2:#153(4.8%); NR4A2:#99(3.1%),2/2,2/2,Highly efficient conversion
NEURON-23,Noradrenergic neuron,Fibroblast,Set 2 — Extended validation,ASCL1; PHOX2B; AP2A; GATA3; HAND2,5,ASCL1; PHOX2B; TFAP2A; GATA3; HAND2,,various,various,2019,Cell Rep,scored,ASCL1:#65(2.1%); PHOX2B:#335(10.6%); TFAP2A:#685(21.6%); GATA3:#930(29.4%); HAND2:#331(10.5%),1/5,1/5,Autonomic specification
NEURON-24,Striatal neuron,Fibroblast,Set 2 — Extended validation,CTIP2; DLX2,2,BCL11B; DLX2,,26412560,Masserdotti,2015,Cell Stem Cell,scored,BCL11B:#265(8.4%); DLX2:#137(4.3%),1/2,2/2,Forebrain neuron
NEURON-25,Nociceptor,Fibroblast,Set 2 — Extended validation,ASCL1; MYT1L; ISL2; KLF7; NGN1,5,ASCL1; MYT1L; KLF7; NEUROG1,ISL2,26551542,Blanchard,2015,Nat Neurosci,scored,ASCL1:#65(2.1%); MYT1L:#8(0.3%); ISL2:not_in_pool; KLF7:#1657(52.3%); NEUROG1:#152(4.8%),3/4,3/4,Pain sensing neurons
GLIAL-05,Astrocyte (reactive),Fibroblast,Set 2 — Extended validation,NFIB; SOX9,2,NFIB; SOX9,,32237002,Li,2020,Stem Cells,scored,NFIB:#158(5.0%); SOX9:#75(2.4%),2/2,2/2,Two factor astrocyte
