cocktail_id,target_cell,source_cell,validation_set,factors_published,n_factors,factors_in_pool,factors_not_in_pool,pmid,first_author,year,journal,scoring_status,factor_ranks,top5_pct_recovery,top10_pct_recovery,notes
IPSC-01,iPSC,Fibroblast,Set 1 — Training validation,OCT4; SOX2; KLF4; MYC,4,,OCT4; SOX2; KLF4; MYC,16904174,Takahashi,2006,Cell,skipped: unmappable target: iPSC,,,,Original Yamanaka factors (OSKM)
IPSC-02,iPSC,Fibroblast,Set 1 — Training validation,OCT4; SOX2; KLF4; MYC,4,,OCT4; SOX2; KLF4; MYC,18035408,Takahashi,2007,Cell,skipped: unmappable target: iPSC,,,,Human reprogramming
IPSC-03,iPSC,Fibroblast,Set 1 — Training validation,OCT4; SOX2; NANOG; LIN28A,4,,OCT4; SOX2; NANOG; LIN28A,18029452,Yu,2007,Science,skipped: unmappable target: iPSC,,,,Thomson lab alternative
IPSC-04,iPSC,Fibroblast,Set 1 — Training validation,OCT4; SOX2; KLF4,3,,OCT4; SOX2; KLF4,19098894,Nakagawa,2009,Nat Biotechnol,skipped: unmappable target: iPSC,,,,MYC-free reprogramming
IPSC-05,iPSC,Keratinocyte,Set 1 — Training validation,OCT4; SOX2,2,,OCT4; SOX2,19806921,Aasen,2009,Nat Biotechnol,skipped: unmappable target: iPSC,,,,Reduced factor set
IPSC-06,iPSC,CD133+ cord blood,Set 1 — Training validation,OCT4; SOX2,2,,OCT4; SOX2,19398399,Giorgetti,2009,Cell Stem Cell,skipped: unmappable target: iPSC,,,,Two-factor reprogramming
IPSC-07,iPSC,Fibroblast,Set 1 — Training validation,Chemical only (VCR6F),1,,Chemical only (VCR6F),23868920,Hou,2013,Science,skipped: no gene factors,,,,First chemical-only iPSC
IPSC-08,iPSC,Fibroblast,Set 1 — Training validation,Chemical cocktail,1,,Chemical cocktail,35418683,Guan,2022,Nature,skipped: no gene factors,,,,Human chemical iPSC
NEURON-01,Neuron (generic),Fibroblast,Set 1 — Training validation,ASCL1; BRN2; MYT1L,3,ASCL1; POU3F2; MYT1L,,20107439,Vierbuchen,2010,Nature,scored,ASCL1:#62(2.0%); POU3F2:#47(1.5%); MYT1L:#7(0.2%),3/3,3/3,BAM factors - landmark paper
NEURON-02,Neuron (generic),Fibroblast,Set 1 — Training validation,ASCL1; BRN2; MYT1L; NEUROD1,4,ASCL1; POU3F2; MYT1L; NEUROD1,,21753754,Pang,2011,Nature,scored,ASCL1:#62(2.0%); POU3F2:#47(1.5%); MYT1L:#7(0.2%); NEUROD1:#34(1.1%),4/4,4/4,Human neuronal conversion
NEURON-03,Dopaminergic neuron,Fibroblast,Set 1 — Training validation,ASCL1; LMX1A; NURR1,3,ASCL1; LMX1A; NR4A2,,21725324,Caiazzo,2011,Nature,scored,ASCL1:#65(2.1%); LMX1A:#1636(51.7%); NR4A2:#99(3.1%),2/3,2/3,DA neuron specification
NEURON-04,Dopaminergic neuron,Fibroblast,Set 1 — Training validation,ASCL1; BRN2; MYT1L; LMX1A; FOXA2,5,ASCL1; POU3F2; MYT1L; LMX1A; FOXA2,,21646515,Pfisterer,2011,PNAS,scored,ASCL1:#65(2.1%); POU3F2:#52(1.6%); MYT1L:#8(0.3%); LMX1A:#1636(51.7%); FOXA2:#432(13.6%),3/5,3/5,Human DA neurons
